# Steam Workshop ID, folder name, mod name, type
# Type is SERVER=0, CLIENT_REQ=1, CLIENT_OPT=2
450814997, CBA A3, 0 # http://steamcommunity.com/sharedfiles/filedetails/?id=450814997
1396901301, Artillery Illumination, 0 # http://steamcommunity.com/sharedfiles/filedetails/?id=1396901301
1858075458, LAMBS Danger, 0 # https://steamcommunity.com/sharedfiles/filedetails/?id=1858075458
1858070328, LAMBS RPG, 0 # https://steamcommunity.com/sharedfiles/filedetails/?id=1858070328
1808238502, LAMBS Suppression, 0 # https://steamcommunity.com/sharedfiles/filedetails/?id=1808238502
615007497, Advanced Sling Loading, 0 # https://steamcommunity.com/sharedfiles/filedetails/?id=615007497
721359761, VCOM AI, 0 # https://steamcommunity.com/sharedfiles/filedetails/?id=721359761

463939057, ACE3, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=463939057
773131200, ACE Compat RHS AFRF, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=773131200
773125288, ACE Compat RHS USAF, 1, # http://steamcommunity.com/sharedfiles/filedetails/?id=773125288
884966711, ACE Compat RHS GREF, 1, # http://steamcommunity.com/sharedfiles/filedetails/?id=884966711
708250744, ACEX, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=708250744
751965892, ACRE2, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=751965892
820924072, Backpack on Chest, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=820924072
450814997, CBA A3, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=450814997
871504836, cTab, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=871504836
583496184, CUP Terrains Core, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=583496184
1981964169, CUP Terrains Maps 2.0, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=1981964169
333310405, Enhnced Movement, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=333310405
2034363662, Enhanced Movement Rework, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=2034363662
1224892496, GRAD Trenches, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=1224892496
313041182, GPNVG18, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=313041182
1804716719, Ladder Tweak 2x, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=1804716719
1413218487, Lesh's Towing Mod, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=1413218487
1543390130, MS IFF Strobe, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=1543390130
1834624052, Pike Mini Missile V2, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=1834624052
1311852588, Rested Weapon Movement, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=1311852588
843425103, RHS AFRF, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=843425103
843593391, RHS GREF, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=843593391
1978754337, RHS PKL, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=1978754337
843577117, RHS USAF, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=843577117
825174634, Suppress, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=825174634
1808723766, Swim Faster, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=1808723766
1623498241, Turret Enhanced, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=1623498241
1779063631, Zeus Enhanced, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=1779063631
2018593688, Zeus Enhanced ACE3 Compat, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=2018593688
1374639840, Attachment Switching, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=1374639840
1638341685, Squad Radar, 1 # http://steamcommunity.com/sharedfiles/filedetails/?id=1638341685

861133494, JSRS, 2 # https://steamcommunity.com/workshop/filedetails/?id=861133494
1841917016, JSRS Global Mobilization, 2 # https://steamcommunity.com/sharedfiles/filedetails/?id=1841917016
945476727, JSRS RHS AFRF, 2 # https://steamcommunity.com/sharedfiles/filedetails/?id=945476727
1180533757, JSRS RHS USAF, 2 # https://steamcommunity.com/sharedfiles/filedetails/?id=1180533757
1180534892, JSRS RHS GREF, 2 # https://steamcommunity.com/sharedfiles/filedetails/?id=1180534892
1486541773, JSRS RHS SAF, 2 # https://steamcommunity.com/sharedfiles/filedetails/?id=1486541773
